Model,Distance,Num_Rounds,Noise_Model,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,forte-1,1000,0,N/A,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.179000,1000,179,20260402_164738
GCNII,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.179000,1000,179,20260402_164738
GCNII,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.179000,1000,179,20260402_164738
GCNII,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.179000,1000,179,20260402_164738
APPNP,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.179000,1000,179,20260402_164738
APPNP,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.180000,1000,180,20260402_164738
APPNP,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.730000,1000,730,20260402_164738
GraphTransformer,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.159000,1000,159,20260402_164738
GraphTransformer,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.163000,1000,163,20260402_164738
GraphTransformer,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.154000,1000,154,20260402_164738
GCN,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.234000,1000,234,20260402_164738
GCN,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.818000,1000,818,20260402_164738
GCN,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.327000,1000,327,20260402_164738
GAT,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.257000,1000,257,20260402_164738
GAT,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.222000,1000,222,20260402_164738
GAT,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.212000,1000,212,20260402_164738
GNN,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.312000,1000,312,20260402_164738
GNN,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.279000,1000,279,20260402_164738
GNN,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.205000,1000,205,20260402_164738
GraphMamba,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.163000,1000,163,20260402_164738
GraphMamba,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.161000,1000,161,20260402_164738
GraphMamba,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.155000,1000,155,20260402_164738

No_Correction,3,3,forte-1,1000,0,N/A,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.173000,1000,173,20260403_143334
CNN,3,3,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.199000,1000,199,20260403_143334
CNN,3,3,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.203000,1000,203,20260403_143334
CNN,3,3,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.198000,1000,198,20260403_143334

No_Correction,3,3,forte-1,1000,0,N/A,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.170000,1000,170,20260402_171612
GCNII,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.830000,1000,830,20260402_171612
GCNII,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.830000,1000,830,20260402_171612
GCNII,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.792000,1000,792,20260402_171612
APPNP,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.170000,1000,170,20260402_171612
APPNP,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.830000,1000,830,20260402_171612
APPNP,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.170000,1000,170,20260402_171612
GraphTransformer,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.170000,1000,170,20260402_171612
GraphTransformer,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.170000,1000,170,20260402_171612
GraphTransformer,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.163000,1000,163,20260402_171612
GCN,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.694000,1000,694,20260402_171612
GCN,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.681000,1000,681,20260402_171612
GCN,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.247000,1000,247,20260402_171612
GAT,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.222000,1000,222,20260402_171612
GAT,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.256000,1000,256,20260402_171612
GAT,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.173000,1000,173,20260402_171612
GNN,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.193000,1000,193,20260402_171612
GNN,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.171000,1000,171,20260402_171612
GNN,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.202000,1000,202,20260402_171612
GraphMamba,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.170000,1000,170,20260402_171612
GraphMamba,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.165000,1000,165,20260402_171612
GraphMamba,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.159000,1000,159,20260402_171612

No_Correction,3,3,forte-1,1000,0,N/A,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.158000,1000,158,20260403_145950
CNN,3,3,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.193000,1000,193,20260403_145950
CNN,3,3,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.204000,1000,204,20260403_145950
CNN,3,3,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.179000,1000,179,20260403_145950

No_Correction,3,3,forte-1,1000,0,N/A,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.189000,1000,189,20260402_170151
GCNII,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.189000,1000,189,20260402_170151
GCNII,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.811000,1000,811,20260402_170151
GCNII,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.811000,1000,811,20260402_170151
APPNP,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.189000,1000,189,20260402_170151
APPNP,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.189000,1000,189,20260402_170151
APPNP,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.811000,1000,811,20260402_170151
GraphTransformer,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.181000,1000,181,20260402_170151
GraphTransformer,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.168000,1000,168,20260402_170151
GraphTransformer,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.164000,1000,164,20260402_170151
GCN,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.189000,1000,189,20260402_170151
GCN,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.802000,1000,802,20260402_170151
GCN,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.604000,1000,604,20260402_170151
GAT,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.325000,1000,325,20260402_170151
GAT,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.302000,1000,302,20260402_170151
GAT,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.245000,1000,245,20260402_170151
GNN,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.321000,1000,321,20260402_170151
GNN,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.266000,1000,266,20260402_170151
GNN,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.189000,1000,189,20260402_170151
GraphMamba,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.179000,1000,179,20260402_170151
GraphMamba,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.166000,1000,166,20260402_170151
GraphMamba,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.161000,1000,161,20260402_170151

No_Correction,3,3,forte-1,1000,0,N/A,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.198000,1000,198,20260403_144651
CNN,3,3,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.223000,1000,223,20260403_144651
CNN,3,3,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.211000,1000,211,20260403_144651
CNN,3,3,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.200000,1000,200,20260403_144651